Content,Sentiment
"['great', 'see', 'oin', 'amp', 'cynthia', 'happi', 'dinner', 'great', 'cute', 'littl', 'place', 'bad', 'oin', 'get', 'sick', 'afterward']",happiness
"['cant', 'give', 'jertron', 'bday', 'nudg']",neutral
"['woman', 'transfer', 'first', 'impress', 'sexualmatern', 'onto', 'less', 'threaten', 'man', 'weak']",worry
"['brother', 'bloom', 'wont', 'open', 'weekend', 'el', 'paso', 'ill', 'buy', 'brick', 'enjoy', 'watch', 'brother', 'bloom']",neutral
"['say', 'miss', 'plurk', 'httpplurkcompwxion']",neutral
"['bite', 'blood', 'cat', 'way', 'rabi', 'bacterin', 'seem', '7', 'shoot', '2', 'month', 'never', 'wash', 'cat', 'home', 'hate', 'water']",worry
"['miss', 'voobi']",neutral
"['dancing_monk', 'neither', 'elp']",neutral
"['havingmysay', 'dude', 'favorit', 'sandwich', 'place', 'ever', 'ummm', 'take', 'pictur']",happiness
"['sad', 'shin', 'ae', 'get', 'marriedand', 'wasnt', 'alex']",worry
"['shondarhim', 'sure', 'tweet', 'your', 'back', 'news', 'abuzz', 'tr', 'knight', 'leav', 'quotconfirmedquot', 'today', 'muy', 'trist']",worry
"['rachellock22', 'ohh', 'thursday', 'exam', 'day', 'wednesday']",sadness
"['mix', 'dentist', 'appt', 'afternoon', 'reschedul', 'tomorrow', '9am']",neutral
"['gcrush', 'nopantsd', 'think', 'excit', 'guy', 'move', 'realiz', 'sad', 'see', 'go']",sadness
"['goooood', 'mooorn', 'peopl', 'sun', 'definit', 'spring', 'first', 'spring', 'hail', 'storm', 'car', 'dimpl']",worry
"['artfuldodga', 'love', 'itsakey', 'usb', 'stick', '4gb', 'australia']",sadness
"['fresh', 'princ', 'sleepi', 'sleep', 'night', 'routin', 'get', 'ta', 'go', 'dmv', 'earli', 'tmrw']",worry
"['dammit', 'hulu', 'desktop', 'total', 'screw', 'abil', 'talk', 'particular', 'port', 'one', 'dev', 'server', 'cant', 'watch', 'code']",hate
"['emmarl', 'jealous', 'mom', 'talk', 'taylorswift13', 'want', 'see', 'twitter', 'make', 'miss']",worry
"['cant', 'sleepi', 'keep', 'think', 'puppi', 'play', 'today']",worry
"['im', 'supppos', 'sleep', 'get', 'much', 'amp', 'get', 'one', 'part', 'song', 'stick', 'head', 'quotyour', 'jerk', 'iknowquot', 'blaahh']",worry
"['lepetitagneau', 'what', 'go', 'sweetheart']",neutral
"['freak', 'difficult', 'get', 'systemwid', 'spellcheck', 'shit', 'id', 'settl', 'offic', 'suit', 'one', 'stupid', 'unhelp', 'window']",neutral
"['last', 'one', 'month', 'due', 'summer', 'strawberri', 'availbl', 'chennai', 'market']",worry
"['willxxmobb', 'work', '6am', 'get', 'ta', 'go', 'bed', 'soon']",neutral
"['robertf3', 'correct', 'ador', 'pluck', 'put', 'arm', 'cuz', 'cryin', 'better', 'hahaha']",love
"['sweeetnspici', 'hiii', 'im', 'ipodi', 'cant', 'fall', 'asleep']",sadness
"['dont', 'wan', 'na', 'work', '11830', 'tomorrow', 'get', 'pay']",sadness
"['feel', 'sad', 'coz', 'wasnt', 'abl', 'play', 'guy', 'httpplurkcompwxiux']",sadness
['princecharm'],neutral
"['cayogi', 'want', 'come', 'bz', 'summer', 'sure', 'anymor', 'teacher', 'life', 'summer', 'suck']",hate
"['first', 'ever', 'drop', 'call', 'mobil', 'call', 'telstra', 'less', 'charg', 'data', 'even', 'though', 'data', 'pack']",worry
"['mrgenius23', 'win', 'sigh', 'rakeem']",hate
"['oh', 'time', 'real']",neutral
"['darn', 'allergi', 'dont', 'like', 'time', 'year', 'never', 'use', 'problem', 'either']",sadness
"['oh', 'one', 'minut', 'late', 'oh', 'well']",worry
"['soviet_star', 'damn', 'suck']",hate
"['cayogi', 'want', 'come', 'bz', 'summer', 'sure', 'anymor', 'teacher', 'life', 'summer', 'suck']",sadness
"['mileycyrus', 'websit', 'give', 'virus', 'open', 'window', 'keep', 'pop']",hate
"['ahh', 'big', 'scari', 'bug', 'fli', 'around', 'room']",worry
"['wish', 'know', 'put', 'throughsh', 'steal', 'heart', 'never', 'give', 'backand', 'occasion', 'like', 'like', 'look']",sadness
"['nasti', 'cough', 'cant', 'sick', 'huge', 'weekend', 'ahead']",worry
"['justamedicin', 'stone', 'cold', 'crazi']",neutral
"['im', 'tire']",boredom
"['shift', 'time', 'bbye', 'biochem', 'waaaaahhhhhh', 'httpplurkcompwxizo']",neutral
"['melbournegirl', 'im', 'sure', 'some1', 'cum', 'play', 'im', 'workin', 'til', 'midnight']",neutral
"['thecreativeon', 'second', 'wish', 'rain']",neutral
"['neesabear', 'earli', 'happi', 'day', 'birth', 'case', 'dont', 'make', 'tire', 'therapi', 'today', 'n', 'take', 'medicin', 'misshu', 'love', 'ya']",sadness
"['damn', 'eric', 'anyon', 'els', 'need', 'hair', 'play']",neutral
"['im', 'feel', 'deflat', 'ugh', 'dog']",neutral
"['allergi', 'suck', 'duck', 'nut', 'lt88gt']",sadness
"['well', 'almost', 'good', 'day', 'guess', 'retri', 'tomorrow']",neutral
"['iamyet', 'waraku', 'tasteless', 'expens', 'portion', 'littl', 'waraku']",hate
"['freepbx', 'sound', 'good', 'appreci', 'suggest', 'week', 'still', 'offlin', 'time', 'ask', 'refund']",love
"['poinktoinkdoink', 'die', 'wait', 'magic', 'jack', 'read']",worry
"['britblackbird', 'youstinkatrespondingtotext']",hate
"['wonder', 'karma', 'point', 'turn', '000', 'httpplurkcompwxj54']",sadness
"['need', 'pack', 'cali', 'cali', 'waittt', 'think', 'glass', 'wine', 'order', 'celebr', 'weekend', 'vaca', 'still', 'work', '2morrow', 'tho']",happiness
"['miser', 'feel', 'like', 'im', 'gona', 'cri', 'sux']",sadness
"['megturney', 'well', 'run', 'beer', 'leave', 'sure', 'eta', 'wait', 'wait', 'wait', 'bleh', 'gon', 'na', 'long', 'nite', 'methink']",neutral
"['nose', 'stud', 'fell', 'cant', 'find', 'look', 'like', 'ill', 'head', 'amsterdam', 'today', 'get', 'new', 'one']",worry
"['clair', 'breakfastnt', 'love', 'show', 'get', 'offic', '5am', 'radio']",neutral
"['pat', 'philli', '2', 'love', 'mmm', 'cheesesteak', 'miss', 'boyfriend', 'love', 'vacat']",love
"['sigh', 'im', 'go', 'bed', 'dont', 'feel', 'right', 'anymor']",sadness
"['focus', 'tom', 'much', 'didnt', 'see', 'belov', 'barack', 'oh', 'must', 'vote', 'poor', 'presid', '626', 'vote']",neutral
"['jwillock', 'epicentr', 'wheelock', 'place', 'tourist']",neutral
"['depress', 'watch', 'think', 'danc']",sadness
"['cross', 'caus', 'im', 'stick', 'twiddl', 'thumb', 'ugh']",sadness
"['miss', '16th']",neutral
"['theharvardian', 'know', 'like', 'say', 'idea', 'long', 'take', 'investig', 'stuff']",neutral
"['cant', 'sleep', 'im', 'sore', 'move']",worry
"['lafloozita', 'httptwitpiccom4phz', 'awe', 'miss', 'babi']",neutral
"['softtouchm', 'answer', 'never', 'learn', 'write', 'french', 'basic', 'stuff']",empty
"['chocol', 'never', 'say']",neutral
"['achiev', 'new', 'appreci', 'xml', 'build', 'script', 'realli', 'pain', 'cumbersom']",worry
"['ether_radio', 'im', 'awak', 'ill', 'nap', 'afternoon']",neutral
"['omfgisell', 'cant', 'anyth']",worry
"['still', 'need', 'anoth', '6', 'hour', 'sleep']",neutral
"['im', 'work']",relief
"['rip', 'leonardo', 'great', 'mini', 'fiddler', 'crab']",fun
"['morn', 'tweepleway', 'earli']",neutral
"['last', 'day', 'work', 'uni', 'today', 'sad', 'time']",sadness
"['nisforneemah', 'thank', 'neemah', 'im', 'gon', 'na', 'soooo', 'close', 'izzi', 'yet', 'far']",love
"['head', 'hurt', 'bad', 'could', 'scream']",worry
"['go', 'im', 'tire', 'airmatra', 'break', 'somewher', 'im', 'even', 'pain']",worry
"['new', 'work', 'well', 'challeng', 'go', 'well', 'commit', 'check', 'email', '10', 'pm', '6', 'fail', 'first', 'day', 'twice']",worry
"['new', 'blog', 'post', 'blog', 'auto', 'insuran', 'find', 'auto', 'insur', 'polici', 'expir', 'careless', 'meanw']",worry
"['bestfriend', 'mia', 'wat']",neutral
"['oh', 'meni', 'realli', 'cant', 'see', 'facecmon', 'guy']",worry
"['im', 'show', 'age', 'renew', 'tag', 'last', 'week', 'go', '20', 'get', 'insur', 'renew', 'email', 'today', 'go', '100', 'dont', 'wan', 'na', 'old']",worry
"['sole', 'support', 'sole', 'support']",worry
"['dont', 'hate', 'finish', 'work', 'there', 'still', '125', 'hour', 'leave', 'work', 'time']",hate
"['emilyyy16', 'urgh', 'stop', 'guy']",worry
"['still', 'miss', 'husband', 'realli', 'want', 'home']",sadness
"['miss', 'puppi']",sadness
"['2', 'day', 'month', 'leave', '400mb', 'leave', 'onpeak', 'download']",surprise
"['idlethumb', 'didnt', 'get', 'memo', 'look', 'amaz']",fun
"['nzdeani', 'ive', 'give', 'pizza', 'kid', 'would', 'never', 'let', 'fav', 'hot', 'one']",sadness
"['read', 'tabloid', 'peopl', 'livesthink', 'im', 'gon', 'na', 'mine', 'babi', 'leav']",worry
"['barbschaef', 'yearl', 'pet', 'home', 'die', 'sad', 'whole', 'famili']",sadness
"['fun', 'sun', 'hmmm', 'hell', 'cold']",neutral
"['get', 'giant', 'splinter', 'stick', 'underneath', 'finger', 'nail', 'today', 'muppetsit', 'hurt', 'get', 'go', 'first', 'aid', 'first', 'time']",worry
"['heresmyhello92', 'hate', 'chang', 'cours', 'fan', 'life', 'lt3', 'oh', 'havent', 'meet', 'rob', 'someth', 'go', 'horribl', 'wrong']",sadness
"['feel', 'sad', 'reason', 'httpplurkcompwxji3']",worry
"['well', 'fuck', 'new', 'pain', 'med', 'odd', 'warn', 'actual', 'appli', 'cant', 'take', 'chan', 'displeas']",sadness
"['upload', 'new', 'blog', 'pain', 'stori', '80s', 'year', 'old', 'man', 'cri', 'want', 'die', 'sad']",sadness
"['juneye', 'dont', 'think', 'want', 'detail']",neutral
"['jackgraycnn', 'hi', 'mari', 'poppin']",neutral
"['jaychuck', 'addict', 'kind', 'curs', 'night', 'time', 'everytim', 'one', 'feel', 'like', 'make', 'music', 'afterward']",worry
"['last', 'tweet', 'didnt', 'send', 'bad', 'phone']",neutral
"['relly1', 'omg', 'ur', 'aliv', 'lol', '2day', 'go', 'sooo', 'slow', 'im', 'go', 'insan', 'grrr', 'anyth', 'tonight']",fun
"['headach', 'im', 'go', 'bed', 'goodnight']",empty
"['taxidermi', 'watch', 'parent', 'control']",neutral
"['jessijaejoplin', 'get', 'california', 'vintag', 'ahahah', 'best', 'dress', 'want', 'dont', 'ebay']",fun
"['saw', 'pic', 'past', 'thanksgiv', 'sad', 'grandma']",sadness
"['jertron', 'wont', 'let']",worry
"['take', 'shift', 'tomorrow', 'dont', 'realli', 'feel', 'like', 'work', 'right']",sadness
"['money', 'phone']",sadness
"['spend', 'last', 'night', 'aamp', 'er', 'wife', 'tangl', 'wheel', 'daughter', 'amp', 'hit', 'deck', 'disloc', 'amp', 'fractur', 'result']",worry
"['thelastdoctor', '9', 'day', 'im', 'readi', 'visit', 'torchwood', 'see', 'theyv', 'hear', 'anyth']",worry
"['bern_morley', 'bris', 'cant', 'hear', 'thunder']",surprise
"['bec', 'vs', 'fat', 'food', 'winner', 'fat', 'food', 'weeknend', 'ill', 'beat']",surprise
"['bad', 'red', 'devil', 'disappoint', 'say', 'least']",sadness
"['dream', 'pretti', 'pretti', 'beach', 'beach', 'wake']",surprise
"['xdjio', '3ware', '9650se', 'fast', 'enough', '3x', 'x25m', 'ssd', 'raid5', '800mhz', 'iop', 'hpt', 'might', 'tri', 'adaptec', '5405', '12ghz']",sadness
"['da', 'heck', 'garag', 'man', 'get', 'ask']",surprise
"['eat', 'mandi', 'pleas', 'forgiv', 'realli', 'sorri', 'dont', 'wan', 'na', 'lose', 'bff']",worry
"['melluffsyew', 'umm', 'yeah', 'that', 'probabl', 'pretti', 'good', 'note', 'self', 'eeeeeewwwwwwww']",hate
"['plane', 'ticket', 'expens']",worry
"['wendyisastar', 'melluffsyew', 'umm', 'yeah', 'that', 'probabl', 'pretti', 'good', 'note', 'self', 'eeeeeewwwwwwww']",fun
"['need', 'job', 'bad']",worry
"['alexandergwhit', 'daaammmnnnnn', 'wish']",sadness
"['go', 'di', 'bella', 'coffe', 'roaster', 'today', 'ask', 'job', 'person', 'need', 'speak', 'holiday', 'fb']",worry
"['yuki_him', 'play', 'latter', 'part', 'voodoo', 'villag', 'part', 'coop', 'lose', 'usual', 'partner']",sadness
"['dymediva23', 'nite', 'im', 'n', 'bore', 'oppos', 'almost', 'sleep', 'frm', 'b', '4']",empty
"['bad', 'friend']",sadness
"['rlcpbiatch', 'happi', 'birthdayyy', 'hope', 'awesom', 'day', 'didnt', 'see', 'next', 'last', 'night']",neutral
"['sparkdawgmus', 'im', 'shit', 'right', 'im', 'vacat', 'get', 'workin']",hate
"['aiderushton', 'ill', 'oir']",neutral
"['only1kcj', 'guess', 'go', 'girli', 'im', 'still', 'gym', 'work', '630am']",neutral
"['would', 'wish', 'sever', 'migrain', 'would', 'stop', 'doc', 'prescript', 'arent', 'work']",hate
"['bobbyedn', 'miss', 'game']",love
"['moggy99', 'internet', 'last', 'night', 'er', 'brill', 'massiv', 'explos', 'end', 'nearbi', 'gas', 'work', 'er', 'standbi']",sadness
"['tiffalo', 'cuz', 'airlin', 'super', 'lame']",hate
"['lenj', 'still', 'piti', 'come', 'lamb', 'though']",sadness
"['bloomsday16', 'im', 'sorri', 'hear', 'optimist', 'thing', 'get', 'better', 'us']",sadness
"['do', 'paint', 'bedroom', 'furnitur', 'still', 'tabl', 'wait', 'move', 'uggh', 'move', 'heat']",relief
"['im', 'tiredand', 'insomnia']",hate
"['juiceegapeach', 'hungri', 'fool', 'ill', 'probabl', 'never', 'see', 'krispi', 'kreme', 'enjoy', 'close']",neutral
"['yelgiuqnayr', 'airport', 'didnt', 'show', 'tonight', 'homo']",neutral
"['hate', 'bakersfield', 'hate', 'port', 'let', 'go', 'home', 'alreadi', 'want', 'start', 'vacat']",hate
['mrrathbon'],neutral
"['look', 'desktop', 'twitter', 'app', 'actual', 'let', 'access', 'url', 'suggest', 'like', 'twittl', 'link']",neutral
"['peopl', 'hous', 'know', 'close', 'door']",worry
"['complet', 'facebook', 'quizz', 'time', 'morn', 'especi', 'friday', 'morn']",surprise
"['lizzziemonst', 'amp', 'jamiejamess', 'soooo', 'hungri']",neutral
"['munchkinhug', 'dont', 'like', 'possibl', 'leave', 'side', 'brain', 'hurt', 'thing', 'call', 'vp', 'shunt', 'possibl', 'death']",worry
"['cancel', 'wow']",sadness
"['want', 'make', 'music', 'profil', 'dont', 'money', 'dont', 'know', 'write', 'music', 'dont', 'know', 'play', 'instrument', 'studio']",worry
"['fairyfroggi', 'yeahim', 'sad', 'quotravenclawquot', 'account', 'love', 'account', 'bite']",sadness
"['115', 'hear', 'helicopt', 'fli', 'hous', 'that', 'kind', 'weird', 'news', 'headach', 'back', 'booooo']",worry
"['__sugar', 'oh', 'alway', 'lt3']",worry
"['back', 'school', 'ms', 'suhana', 'last', 'day', 'ft', 'ocu', 'okay', 'im', 'play', 'altnoy']",neutral
"['poll', 'tri', 'get', 'work', 'powerpoint', 'avail']",neutral
"['take', 'math', 'test', 'today', 'day', 'test', 'teacher', 'say', 'bring', 'calcul', 'luke', 'confid', 'teacher', 'decid', 'calc']",happiness
"['omg', 'concert', 'awesom', 'madrig', 'give', 'chill', 'almost', 'everi', 'piecebrook', 'also', 'call', 'alumni', 'didnt', 'get', 'go']",happiness
"['livestrongnj', 'yeah', 'terribl', 'cockatoo', 'hardest', 'live', 'emot', 'good', 'thing', 'find', 'though']",neutral
"['late', 'nothin', '2']",sadness
"['think', 'vog', 'make', 'sicker', 'think', 'feel', 'slight', 'achi']",worry
"['thetombert', 'watch', 'harper', 'island', 'lol', 'vodka', 'involv']",empty
"['homework', 'sux', 'big', 'time', 'math', 'worst']",worry
"['nymo', 'would', 'better', 'imo', 'let', 'play', '3', 'song', 'provid', 'start', 'quotget', 'itquot', 'black']",neutral
"['3wordsaftersex', 'never', 'start']",neutral
"['sometim', 'wish', 'thing', 'could', 'go', 'back', 'way', 'begin', 'last', 'summer']",sadness
"['download', 'new', 'twitterfon', 'updat', 'think', 'fix', 'type', 'problem', 'new', 'tweet', 'didnt']",worry
"['tarng', 'trudi', 'burnetth', 'one', 'north', 'one', 'goe']",empty
"['kateisbor', 'feel', 'way', 'guess', 'matter', 'alway', 'meme']",sadness
"['cant', '30', 'minut', 'treadmil', 'do', '30', 'minut', 'today', 'alreadi', 'gon', 'na', '20', 'minut']",happiness
"['im', 'sooooooooooooo', 'confus']",worry
"['friend', 'like', 'vaikonedumaran', 'ltte', 'didnt', 'need', 'enemi', 'wrong', 'advic', 'wrong', 'time', 'lead', 'numer', 'death', 'amp', 'lose', 'caus', 'well']",neutral
"['work', 'day', '7', '7']",worry
"['chillin', 'roomi', 'cant', 'wait', 'zombi', 'clwn', 'cr', 'gon', 'na', '68', 'week']",happiness
"['looov', 'guitar', 'play', 'think', 'sound', 'magnific', 'better']",neutral
"['superjerri', 'refund', 'retriev', 'account', 'take', 'like', 'week', 'hope', 'thief', 'doesnt', 'use', 'hack', 'permaban']",worry
"['mysticnz', 'im', 'cri', 'lol']",neutral
"['cute', 'malay', 'girl', 'come', 'seemi', 'room', 'rent', 'sad', 'think', 'guyfreind', 'bite', 'mislead', 'disappoint', 'lol']",sadness
"['gurlstrang', 'epicentr', 'wheelock', 'place', '250', 'unit', 'amp', 'tourist', 'start', 'today']",surprise
"['hate', 'new', 'mt', 'dew', 'commercialth', 'one', 'giant', 'mosquitoit', 'scare', 'gross', 'time']",hate
"['come', 'knight', 'well', '4', 'hour']",neutral
"['super', 'keen', 'drive', 'home', 'rain', 'addit', 'concentr', 'requir', 'dont', 'realli', 'wan', 'na', 'deal']",worry
"['foxxfil', 'aw', 'u', 'cant', 'let', 'secret']",surprise
"['freshypanda', 'im', 'sorri', 'dont', 'think', 'stick', 'least', 'compar', 'use', 'look', 'like']",surprise
"['transport', 'church', 'wont', 'make', 'im', 'crush', 'oh', 'well', 'time', 'assign', 'suppos', 'throat', 'realli', 'hurt']",worry
"['hate', 'see', 'pregnant', 'women', 'smokinggg', 'sooo', 'irrespons', 'n', 'selfish', 'saaad', 'ultim', 'babi', 'one', 'suffer']",hate
"['liesliesliesyou', 'cant', 'avoid', 'lie', 'practicallyeveryth']",hate
"['twittascop', 'rock', 'sock', 'go', 'away', 'alreadi']",neutral
"['drive', 'back', 'home', 'forget', 'piec', 'cake', 'v_era']",neutral
"['seemouserun', 'tri', 'jump', 'without', 'trampolin', 'like', 'thud', 'thud', 'shouldnt', 'eat', 'cooki', 'httpmylocme1xiz']",worry
"['everytim', 'send', 'email', 'coach', 'feel', 'need', 'practic', 'shitti', 'ball', 'lol']",sadness
"['piss', 'let', 'follow', 'ericka']",sadness
"['go', 'sleep', 'peac', 'want', 'hear', 'say', 'good', 'night', 'didnt', 'happen', 'good', 'night', 'everyon']",sadness
"['mum', 'tri', 'make', 'feel', 'ebtter', 'stop', 'vote', 'adn', 'win', 'shortstack', 'almost', 'cri']",sadness
"['koifusionpdx', 'close', 'tacoson', 'spot', 'late']",neutral
"['msz_rockstar', 'umm', 'bout', 'emaint', 'get', '2', 'see', 'da', 'game', 'see', 'dey', 'surviv', 'anotha', 'game', 'da', 'seri', 'due', 'notin', 'lebron', 'im', 'guessin']",empty
"['think', 'much', 'im', 'work']",surprise
"['forget', 'live', 'jona', 'brother', 'facebook']",worry
"['havent', 'see', 'muffin', 'two', 'whole', 'day']",sadness
"['yumifujii', 'ill', 'miss', 'yall', 'back', 'give', 'lesleyboudi', 'regard']",sadness
"['gap', 'year', 'go', 'quick']",surprise
"['admit', 'im', 'bite', 'bum', 'wasnt', 'friend', 'walk', 'today']",worry
"['jennyvok', 'girl', 'blunt', 'soooooooo', 'think', 'right', 'absolut', 'great', 'day', 'stressorscom', 'home']",neutral
"['twitter', 'hack']",worry
"['find', 'mj', 'mous', 'flat', 'dj', 'cours', 'none', 'leave', 'size']",sadness
"['passingcarss', 'wont', 'time', 'buy', 'need', 'new', 'binder', 'pa']",neutral
"['lanacaitlin', 'hahaha', 'well', 'tri', 'ugli']",hate
"['25man', 'ulduar', 'hard']",neutral
"['jmoriarti', 'dont', 'even', 'want', 'know', 'know', 'vhemt', 'dont', 'go', 'wed', 'miss']",worry
"['ooochelcyooo', 'that', 'awesom', 'weekend', 'cant', 'go', 'im', 'move', 'sit', 'lot', 'fun', 'though']",fun
"['night', 'night', 'twitter', 'world', 'still', 'cant', 'believ', 'thoma', 'thing', 'tomorrow', 'gunna', 'funsad']",neutral
"['princess_oat', 'happen']",neutral
"['qi_tah', 'oh', 'hug']",surprise
"['oxygen8705', 'bore', 'talk', 'someon', 'theyr', 'busi', 'someth', 'els', 'kinda', 'bummer', 'idk']",neutral
"['xoshayz', 'knoww', 'thing', 'wont', 'same', 'lt3']",sadness
"['omg', '1118', 'pm', 'need', 'beup', 'earli', 'set', 'garag', 'sale', 'start', '8am', 'wish', 'say', '9am', 'im', 'beat']",worry
"['vinylvickxen', 'kno', 'doooo', 'yall', 'partyin']",happiness
"['okay', 'twitter', 'sudden', 'chang', 'respond', 'messag']",worry
"['ugh', 'dad', 'tell', 'read', 'articl', 'kavya', 'shivashankar', 'spellin', 'bee', 'girland', 'like']",neutral
"['decid', 'matter', 'good', 'hair', 'look', 'cur', 'doesnt', 'justifi', 'burn', 'get', 'curler', 'hand', 'cover', 'suck']",worry
